0,0,0,0,0,0
0.,0.,0.,0.,0.,0.
0.,0.0026,-0.0029,0.0003,0.,-0.
-0.,0.0077,-0.0086,0.0009,-0.,0.
-0.,0.0154,-0.0172,0.0018,-0.,0.
-0.,0.0257,-0.0287,0.003,-0.,0.
-0.,0.0386,-0.0431,0.0045,-0.,0.
-0.0001,0.054,-0.0603,0.0063,-0.0001,0.
-0.0002,0.072,-0.0804,0.0083,-0.0002,0.0001
-0.0003,0.0925,-0.1032,0.0106,-0.0003,0.0001
-0.0005,0.1156,-0.1288,0.013,-0.0005,0.0002
-0.0008,0.1412,-0.157,0.0156,-0.0008,0.0003
-0.0011,0.1692,-0.1877,0.0182,-0.0011,0.0004
-0.0016,0.1996,-0.2208,0.0207,-0.0016,0.0005
-0.0022,0.2324,-0.2561,0.023,-0.0022,0.0007
-0.003,0.2675,-0.2933,0.0248,-0.003,0.001
-0.0039,0.3048,-0.3321,0.0261,-0.0039,0.0013
-0.0051,0.3441,-0.3722,0.0264,-0.0051,0.0016
-0.0065,0.3854,-0.4131,0.0256,-0.0065,0.0021
-0.0081,0.4286,-0.4545,0.0233,-0.0081,0.0026
-0.01,0.4734,-0.4959,0.0193,-0.01,0.0032
-0.0123,0.5198,-0.5368,0.0131,-0.0123,0.0038
-0.0149,0.5676,-0.5767,0.0045,-0.0149,0.0046
-0.0179,0.6167,-0.6151,-0.007,-0.0179,0.0054
-0.0212,0.6669,-0.6516,-0.0216,-0.0212,0.0063
-0.0251,0.718,-0.6856,-0.0397,-0.0251,0.0073
-0.0294,0.7699,-0.7167,-0.0617,-0.0294,0.0084
-0.0343,0.8224,-0.7443,-0.0877,-0.0343,0.0096
-0.0398,0.8754,-0.768,-0.1182,-0.0398,0.0109
-0.0459,0.9286,-0.7874,-0.1534,-0.0459,0.0123
-0.0527,0.9818,-0.802,-0.1936,-0.0527,0.0138
-0.0603,1.0348,-0.8113,-0.2389,-0.0603,0.0154
-0.0688,1.0874,-0.815,-0.2896,-0.0688,0.0172
-0.0781,1.1392,-0.8125,-0.3459,-0.0781,0.019
-0.0885,1.1901,-0.8034,-0.4078,-0.0885,0.021
-0.1,1.2397,-0.7874,-0.4756,-0.1,0.0232
-0.1128,1.2876,-0.764,-0.5492,-0.1128,0.0255
-0.1269,1.3336,-0.7329,-0.6288,-0.1269,0.0279
-0.1426,1.3773,-0.6937,-0.7144,-0.1426,0.0306
-0.1601,1.4184,-0.6461,-0.806,-0.1601,0.0334
-0.1797,1.4567,-0.59,-0.9035,-0.1796,0.0364
-0.2015,1.492,-0.5252,-1.0069,-0.2015,0.0395
-0.2261,1.5241,-0.4517,-1.116,-0.226,0.0428
-0.2536,1.553,-0.3699,-1.2305,-0.2536,0.0461
-0.2844,1.5789,-0.2802,-1.3499,-0.2843,0.0496
-0.3183,1.602,-0.1836,-1.4737,-0.3182,0.053
-0.3544,1.6227,-0.0809,-1.6012,-0.3542,0.0564
-0.391,1.6413,0.0267,-1.7315,-0.3908,0.0597
-0.4257,1.6581,0.1378,-1.8637,-0.4254,0.0628
-0.4567,1.6741,0.2503,-1.9963,-0.4564,0.0657
-0.4836,1.6904,0.3613,-2.1275,-0.4833,0.0685
-0.5067,1.7083,0.4676,-2.2555,-0.5063,0.071
-0.5268,1.7292,0.5665,-2.3787,-0.5264,0.0734
-0.5446,1.7537,0.6563,-2.4962,-0.5441,0.0754
-0.5605,1.7821,0.7365,-2.6076,-0.56,0.0772
-0.5748,1.8143,0.8066,-2.7127,-0.5743,0.0788
-0.5879,1.8503,0.867,-2.8115,-0.5873,0.0801
-0.5999,1.8898,0.918,-2.904,-0.5993,0.0813
-0.6108,1.9323,0.9598,-2.9902,-0.6102,0.0823
-0.6209,1.9775,0.9931,-3.0703,-0.6202,0.0831
-0.6301,2.0249,1.0181,-3.1444,-0.6294,0.0838
-0.6385,2.0742,1.0354,-3.2123,-0.6378,0.0845
-0.6461,2.1249,1.0455,-3.2743,-0.6454,0.085
-0.6531,2.1767,1.0487,-3.3304,-0.6523,0.0854
-0.6593,2.2291,1.0455,-3.3807,-0.6585,0.0858
-0.6649,2.282,1.0364,-3.4253,-0.6641,0.0862
-0.6699,2.3349,1.0218,-3.4645,-0.6691,0.0865
-0.6743,2.3877,1.0021,-3.4983,-0.6735,0.0868
-0.6782,2.4401,0.9778,-3.5271,-0.6773,0.0871
-0.6815,2.4918,0.9493,-3.5509,-0.6807,0.0874
-0.6845,2.5428,0.917,-3.5702,-0.6836,0.0876
-0.6869,2.5928,0.8814,-3.5852,-0.6861,0.0879
-0.689,2.6418,0.8429,-3.5961,-0.6882,0.0881
-0.6907,2.6895,0.8018,-3.6032,-0.6899,0.0883
-0.6921,2.736,0.7586,-3.6068,-0.6913,0.0885
-0.6932,2.781,0.7138,-3.6073,-0.6923,0.0887
-0.6939,2.8245,0.6676,-3.605,-0.6931,0.0889
-0.6945,2.8665,0.6205,-3.6001,-0.6936,0.089
-0.6948,2.9067,0.5729,-3.593,-0.6939,0.0892
-0.6948,2.9452,0.5252,-3.5839,-0.694,0.0893
-0.6947,2.9818,0.4777,-3.5732,-0.6939,0.0894
-0.6945,3.0165,0.4309,-3.5611,-0.6937,0.0895
-0.694,3.0491,0.385,-3.5479,-0.6932,0.0896
-0.6935,3.0796,0.3405,-3.5339,-0.6927,0.0896
-0.6928,3.1079,0.2977,-3.5193,-0.692,0.0896
-0.692,3.1338,0.2567,-3.5043,-0.6913,0.0896
-0.6912,3.1574,0.218,-3.489,-0.6904,0.0896
-0.6903,3.1786,0.1816,-3.4737,-0.6895,0.0896
-0.6893,3.1974,0.1477,-3.4585,-0.6886,0.0896
-0.6883,3.2136,0.1166,-3.4433,-0.6876,0.0895
-0.6873,3.2273,0.0881,-3.4285,-0.6867,0.0895
-0.6863,3.2385,0.0625,-3.4138,-0.6857,0.0894
-0.6853,3.2471,0.0397,-3.3995,-0.6847,0.0894
-0.6843,3.2531,0.0198,-3.3855,-0.6837,0.0893
-0.6834,3.2566,0.0028,-3.3718,-0.6828,0.0892
-0.6824,3.2575,-0.0114,-3.3583,-0.6818,0.0892
-0.6815,3.2559,-0.0227,-3.3452,-0.6809,0.0891
-0.6806,3.2517,-0.0311,-3.3324,-0.6801,0.089
-0.6798,3.245,-0.0368,-3.3199,-0.6792,0.089
-0.6789,3.2357,-0.0395,-3.3077,-0.6784,0.0889
-0.6781,3.2239,-0.0394,-3.2958,-0.6776,0.0888
-0.6773,3.2094,-0.0365,-3.2841,-0.6768,0.0888
-0.6765,3.1925,-0.0307,-3.2728,-0.676,0.0887
-0.6756,3.1729,-0.022,-3.2618,-0.6751,0.0886
-0.6748,3.1508,-0.0104,-3.251,-0.6743,0.0885
-0.6739,3.1261,0.0041,-3.2406,-0.6734,0.0884
-0.6729,3.0988,0.0215,-3.2305,-0.6725,0.0883
-0.6719,3.0689,0.0418,-3.2207,-0.6714,0.0882
-0.6707,3.0365,0.0648,-3.211,-0.6703,0.0881
-0.6695,3.0016,0.0906,-3.2016,-0.6691,0.0879
-0.6681,2.9641,0.119,-3.1921,-0.6677,0.0877
-0.6664,2.9243,0.1498,-3.1827,-0.6661,0.0875
-0.6646,2.8821,0.1828,-3.1729,-0.6643,0.0872
-0.6625,2.8376,0.2176,-3.1627,-0.6622,0.0869
-0.6602,2.791,0.254,-3.1518,-0.6599,0.0865
-0.6575,2.7424,0.2915,-3.1399,-0.6572,0.0861
-0.6545,2.6919,0.3295,-3.1267,-0.6542,0.0857
-0.651,2.6397,0.3677,-3.1117,-0.6507,0.0851
-0.6471,2.5861,0.4053,-3.0946,-0.6468,0.0845
-0.6426,2.5311,0.4418,-3.075,-0.6424,0.0839
-0.6376,2.475,0.4766,-3.0524,-0.6375,0.0832
-0.632,2.4181,0.5091,-3.0265,-0.6319,0.0824
-0.6257,2.3605,0.5386,-2.9969,-0.6256,0.0815
