0.48232138,0.00090699,0.24802701,-0.06491373,0.02176296,-0.00891021,-0.03562556,0.06195909,0.06501596,-0.06971589,0.02159409,-0.02629402,0
0.48293898,0.00032987,0.24905549,-0.16491373,0.04304953,-0.01781616,-0.07083303,0.16195909,0.03448652,-0.04059729,0.00107631,-0.00718708,0
0.4797171,0.00109366,0.24636463,-0.20433528,0.06359929,-0.0267075,-0.10535013,0.19904896,0.1063968,-0.13626886,0.02075806,-0.05063012,0
0.4797171,0.0137352,0.25294141,-0.20913116,0.16359929,-0.1267075,-0.00535013,0.20930087,0.4063968,0.16373114,0.32075806,0.24936988,0
0.47463511,0.01923632,0.25057587,-0.18385782,0.26359929,-0.2267075,0.09464987,0.18348796,0.62506355,0.10556749,0.45704279,0.27358825,0
0.47033112,0.02228944,0.24777895,-0.17256423,0.36359929,-0.3267075,0.19464987,0.17084431,0.77217906,0.01967705,0.53438804,0.25746807,0
0.46629483,0.02451874,0.24484096,-0.16465926,0.46359929,-0.4267075,0.24988405,0.16127076,0.89535813,-0.07527288,0.5921366,0.22794865,0
0.46246476,0.02629388,0.24188242,-0.15761524,0.54957867,-0.5267075,0.27669077,0.1523448,1.00447456,-0.1730755,0.63916549,0.19223356,0
0.45882734,0.02775811,0.23896045,-0.15047607,0.61948017,-0.6267075,0.28560033,0.14317846,1.10315527,-0.27097063,0.67888149,0.15330315,0
0.45539131,0.02899643,0.23612448,-0.14246988,0.67899881,-0.71093873,0.28266032,0.13303576,1.19324564,-0.36675262,0.71327187,0.11322116,0
0.45217818,0.03008061,0.23343011,-0.1331409,0.73181226,-0.77995793,0.2716082,0.12144455,1.2760311,-0.45804458,0.74397078,0.07401574,0
0.44923053,0.03103981,0.23093224,-0.12202257,0.77987826,-0.83777256,0.25449332,0.10789167,1.35141458,-0.54272171,0.77157121,0.03712165,0
0.44662058,0.03187512,0.22870024,-0.10841627,0.8242684,-0.88664009,0.23250345,0.09160248,1.41810966,-0.61828726,0.79595757,0.00386483,0
0.44446754,0.03256419,0.22683693,-0.09121733,0.86562932,-0.92796917,0.20640631,0.07134952,1.47344475,-0.68116167,0.81639073,-0.02410765,0
0.44297599,0.03305034,0.22551013,-0.06856654,0.90437317,-0.96268792,0.1767303,0.04506564,1.51243183,-0.72560037,0.83119892,-0.04436746,0
0.44252286,0.0332071,0.22501894,-0.03707456,0.94076995,-0.99140809,0.14384253,0.00898135,1.52541666,-0.74147684,0.8368383,-0.05289847,0
0.44387908,0.0327335,0.22595561,0.01014601,0.97499789,-1.01447188,0.10795971,-0.0445647,1.49179805,-0.70892999,0.82520478,-0.04233672,0
0.44888494,0.03078787,0.22967495,0.08948744,1.00717472,-1.03182357,0.06902815,-0.13380805,1.35998111,-0.58295853,0.77453587,0.00248671,0
0.44019072,0.03524887,0.23547616,0.18948744,1.03738272,-1.04207423,0.02589624,-0.23380805,1.65998111,-0.28295853,0.60760628,0.11743666,0
0.44079735,0.04802516,0.2412452,0.28948744,1.06620901,-1.0393394,-0.02766514,-0.33380805,1.95998111,0.01704147,0.90760628,0.39776883,0
0.44050464,0.04810268,0.24088964,0.31707104,1.09404894,-1.04201667,-0.0734293,-0.36581034,1.96810485,0.00548656,0.91098495,0.39095899,0
0.45772309,0.05786814,0.23831028,0.21707104,1.12086386,-1.06488865,-0.09733903,-0.26581034,2.26810485,0.30548656,1.21098495,0.13269101,0
0.47266619,0.06805231,0.23705603,0.11707104,1.14584173,-1.06883493,-0.13916597,-0.16581034,2.56810485,0.60548656,1.51098495,-0.05179809,0
0.48396106,0.07709662,0.23689746,0.01707104,1.16903748,-1.06482085,-0.18781248,-0.06581034,2.86810485,0.90548656,1.72806176,-0.2009206,0
0.49151882,0.0847146,0.23767521,-0.05301832,1.19032736,-1.05606268,-0.23974368,0.01109053,3.16810485,1.20548656,1.84881977,-0.32519524,0
0.48662464,0.09649166,0.24168089,-0.09350061,1.19032736,-0.95606268,-0.33974368,0.05606527,3.46810485,1.34333627,2.14881977,-0.02867039,0
0.48073952,0.10534006,0.23866696,-0.12472752,1.19032736,-0.85606268,-0.43974368,0.09108224,3.76810485,1.26312914,2.40527789,0.03838327,0
0.47252884,0.11128338,0.2335728,-0.14880944,1.19032736,-0.78312767,-0.53505454,0.11810131,4.04969822,1.10673637,2.55377031,0.01509144,0
0.46618132,0.11259906,0.22795531,-0.16401529,1.19856937,-0.75607316,-0.5925005,0.13444796,4.19082644,0.90878008,2.59200124,-0.07996756,0
0.46045211,0.11489257,0.22342712,-0.17399961,1.19856937,-0.70554088,-0.66491831,0.14501948,4.34501628,0.75638086,2.65331694,-0.13949263,0
0.45537191,0.11608534,0.21899322,-0.18110617,1.19856937,-0.66217016,-0.72989649,0.15212695,4.46256897,0.60182665,2.68851667,-0.21169389,0
0.45075546,0.11651626,0.21464763,-0.18638096,1.19833584,-0.62340424,-0.78975311,0.1569998,4.55459784,0.44641847,2.70571007,-0.2922666,0
0.44642107,0.11675081,0.21048924,-0.19035739,1.19537862,-0.58082726,-0.85041275,0.16035133,4.6374838,0.29684686,2.71833317,-0.37157535,0
0.44231222,0.1167907,0.20646497,-0.19342244,1.18963028,-0.53434622,-0.91190186,0.16262342,4.71221055,0.15111113,2.72645314,-0.45070429,0
0.43839461,0.11662301,0.20253656,-0.19583155,1.18103871,-0.48392401,-0.97420743,0.1641042,4.77904487,0.00767074,2.7297808,-0.53063802,0
0.43464841,0.11622098,0.19867358,-0.19776218,1.16959776,-0.42965053,-1.03723599,0.1649895,4.83768651,-0.13481578,2.72769429,-0.61239639,0
